,date,time,pss4_instrument
81,12/16/2024,172055,24b4
82,12/19/2024,180057,2.40E+01
83,12/21/2024,180311,24f6
84,12/24/2024,180444,2500
85,12/25/2024,180356,2516
86,12/29/2024,180051,24f0
87,12/30/2024,180008,24fd
88,12/31/2024,180408,2511
89,1/2/2025,180328,24c6
90,1/2/2025,180342,2500
91,1/3/2025,171927,24b5
92,1/11/2025,172258,24b2
93,1/12/2025,180219,24f8
94,1/15/2025,180201,24df
95,1/16/2025,172211,24c7
96,1/29/2025,180028,2.40E+02
97,2/5/2025,180225,24fa
98,2/6/2025,180339,2514
99,2/7/2025,180239,24d9
100,2/9/2025,180539,24fa
101,2/22/2025,181338,253e
102,2/23/2025,181536,24b8
103,2/24/2025,172525,24b9
104,2/25/2025,180150,24db
105,2/26/2025,172726,24cc
106,2/27/2025,172717,24bf
107,2/28/2025,181824,2539
108,3/1/2025,180531,251f
109,3/2/2025,181615,251e
110,3/3/2025,180319,24ed
111,3/5/2025,180235,251a
112,3/6/2025,181415,2539
113,3/8/2025,181305,2532
114,3/9/2025,180241,2523
115,3/10/2025,181736,2540
116,3/11/2025,181400,253e
117,3/11/2025,181740,2547
118,3/12/2025,180618,24fb
119,3/16/2025,172959,24ba
120,3/18/2025,173040,24c2
121,3/19/2025,180401,2409
122,3/25/2025,180522,2516
123,3/25/2025,180834,24db
124,3/25/2025,181400,2531
125,3/26/2025,181009,24d3
126,3/29/2025,180657,24db
127,4/2/2025,180445,24db
128,4/2/2025,180452,2516
129,4/6/2025,180349,2516
130,4/7/2025,181348,2535
131,4/9/2025,180513,2521
132,4/10/2025,180620,24fb
133,4/11/2025,181722,2540
134,4/12/2025,172957,24a7
135,4/14/2025,180539,24d1
136,4/17/2025,173550,24b9
137,4/20/2025,180442,24fa
138,4/23/2025,180600,251f
139,4/26/2025,181408,2534
140,4/27/2025,173722,24b4
141,5/2/2025,181649,24cb
142,5/3/2025,181845,253d
143,5/8/2025,180826,24fa
144,5/8/2025,181734,2549
145,5/10/2025,180647,2521
146,5/11/2025,180800,250b
147,5/12/2025,180647,2507
148,5/14/2025,180600,24f7
149,5/15/2025,181624,2539
150,5/16/2025,173923,24b5
151,5/20/2025,180849,24d7
152,5/21/2025,180712,24db
153,5/22/2025,181553,2534
154,5/27/2025,174239,24b9
155,5/30/2025,180654,2506
156,5/31/2025,181431,2530
157,6/1/2025,180739,24db
158,6/7/2025,181641,24aa
159,6/9/2025,181620,252b
160,6/10/2025,174731,24ce
161,6/11/2025,181023,24de
162,6/14/2025,181654,252b
163,6/15/2025,181448,2522
164,6/16/2025,180735,24fa
165,6/18/2025,181505,2531
166,6/18/2025,181724,24fb
167,6/19/2025,181424,2532
168,6/20/2025,181314,2.40E+02
169,6/21/2025,181449,24fb
170,6/28/2025,180909,2516
171,6/29/2025,181656,252b
172,7/1/2025,180752,251a
173,7/2/2025,181752,253d
174,7/3/2025,181624,252e
175,7/6/2025,181005,2506
176,7/7/2025,180427,2515
177,7/8/2025,180549,251c
178,7/9/2025,181544,252b
179,7/12/2025,174536,2417
180,7/15/2025,181634,2522
181,7/17/2025,181624,24fb
182,7/18/2025,181247,24fe
183,7/19/2025,181446,254a
184,7/20/2025,180726,2516
185,7/21/2025,180554,251d
186,7/24/2025,180749,24f7
187,7/25/2025,181457,2522
188,7/25/2025,181607,24d5
189,7/27/2025,181618,24ed
190,7/31/2025,181435,2.40E+10
191,7/31/2025,181610,2508
192,8/1/2025,181312,24ee
193,8/3/2025,181925,24fb
194,8/4/2025,181255,24ee
195,8/5/2025,181814,24d5
196,8/5/2025,182025,24f4
197,8/10/2025,181220,2508
198,8/12/2025,181822,2531
199,8/15/2025,180708,2409
200,8/17/2025,181146,24f7
201,8/18/2025,181547,2541
202,8/19/2025,181802,2.40E+10
203,8/20/2025,180656,251d
204,8/21/2025,181241,250b
205,8/27/2025,180941,250e
206,8/31/2025,181740,2504
207,9/1/2025,182315,24d5
208,9/2/2025,180758,2409
209,9/2/2025,181558,2522
210,9/3/2025,181352,2538
211,9/6/2025,181017,251c
212,9/10/2025,181651,252b
213,9/11/2025,181238,2523
214,9/15/2025,182256,24f4
215,9/17/2025,181457,24b8
216,9/18/2025,181728,2533
217,9/19/2025,181139,24dc
218,9/20/2025,181500,2539
219,9/24/2025,182421,24fb
220,9/27/2025,181411,2549
